age,class
31,0
43,0
43,0
30,0
27,0
51,0
37,0
46,0
35,0
47,0
46,0
40,0
26,0
32,0
45,0
34,0
47,0
42,1
57,0
57,0
38,0
57,0
28,0
60,0
48,0
47,0
40,0
51,0
48,0
54,0
40,0
44,0
42,0
52,0
31,0
32,0
44,0
39,0
57,0
52,0
42,1
42,0
43,0
31,0
29,0
57,0
44,0
59,0
39,0
57,0
41,0
37,0
38,0
42,0
49,0
54,0
36,0
32,0
35,0
45,0
56,0
34,0
41,0
41,0
36,0
32,0
31,0
38,0
35,0
53,0
51,0
56,0
33,0
33,0
51,0
39,1
45,0
40,0
60,0
33,0
47,0
48,0
43,0
37,0
50,0
59,0
32,0
42,0
52,0
42,0
42,0
40,0
38,0
39,0
39,0
38,0
47,0
30,0
38,0
39,0
44,0
36,0
41,0
41,0
35,0
41,0
36,0
35,0
33,0
38,0
33,0
55,0
36,0
57,0
32,0
30,0
43,0
46,0
35,0
34,0
50,0
39,0
39,0
42,0
57,0
45,0
40,0
42,1
40,0
38,0
39,0
41,0
39,0
41,0
45,0
35,0
35,0
49,0
36,0
23,0
43,0
49,0
36,0
51,0
56,0
45,0
42,0
41,0
32,0
46,0
37,0
53,0
30,0
45,0
24,0
45,0
34,0
41,0
59,0
45,0
54,0
32,0
33,0
32,0
34,0
46,0
57,0
42,0
48,0
58,0
34,0
32,0
48,0
47,0
31,0
32,0
32,0
36,0
53,0
37,0
50,0
46,0
41,0
43,0
51,0
38,0
41,0
39,0
52,0
37,0
41,0
46,0
47,0
35,0
38,0
30,0
46,0
30,0
35,0
58,0
40,0
34,0
30,0
38,0
55,0
55,0
45,0
36,0
32,0
35,0
55,0
49,0
29,0
34,0
54,0
36,0
30,0
33,0
37,0
36,0
33,0
32,0
32,0
50,0
39,0
51,0
33,0
33,0
56,0
39,0
33,0
59,0
42,0
43,0
35,0
46,0
27,0
47,0
31,0
32,0
54,0
56,0
48,0
44,0
46,0
45,0
43,0
40,0
56,0
47,0
39,0
48,0
45,1
36,0
49,0
46,0
38,0
50,0
27,0
40,0
46,0
40,0
33,0
54,0
52,0
53,0
49,0
42,0
49,0
40,0
59,0
51,0
57,0
38,0
52,0
26,0
35,0
51,0
43,0
42,0
60,0
36,0
57,0
35,0
30,0
43,0
40,0
45,0
56,0
46,0
41,0
42,0
56,0
43,0
34,0
38,0
40,0
38,0
48,0
27,0
24,0
47,0
48,0
31,0
39,0
41,0
49,0
56,0
49,0
47,0
44,0
48,0
55,0
59,0
44,0
46,0
39,0
38,0
36,0
29,0
31,0
30,0
36,0
60,0
36,0
32,0
39,0
30,0
39,0
37,0
39,0
46,0
43,0
37,0
30,0
38,0
31,0
44,0
44,0
38,0
30,0
37,0
54,0
41,0
43,0
38,0
41,0
38,0
33,0
32,0
30,0
43,0
30,0
36,0
38,0
35,0
50,0
38,0
58,0
50,0
33,0
33,0
44,0
31,0
40,0
28,0
36,0
44,0
38,0
33,0
39,0
47,0
47,0
35,0
42,0
36,0
35,0
36,0
56,0
26,0
31,0
57,0
39,0
43,0
50,0
52,0
39,0
44,0
36,0
54,0
27,0
31,1
31,0
28,0
31,0
30,0
52,0
37,0
30,0
45,0
54,0
49,0
44,0
28,1
53,0
45,0
45,0
51,0
41,0
43,0
31,0
39,0
38,0
50,0
53,0
44,0
53,0
24,0
34,0
40,0
57,0
43,0
31,0
31,0
31,0
45,0
38,0
41,1
47,0
42,0
35,0
40,0
42,0
34,0
48,0
35,0
33,0
37,0
43,0
42,0
46,0
37,1
40,0
40,0
59,0
43,0
44,0
44,1
41,0
28,0
48,0
31,0
27,0
43,0
47,0
40,0
43,0
29,0
54,0
36,0
30,0
38,0
39,0
33,0
39,0
38,0
44,0
33,0
37,0
32,0
46,0
34,0
52,0
46,0
57,0
52,0
32,0
31,0
46,0
59,0
38,0
42,0
40,0
46,0
35,0
28,0
47,0
35,0
48,0
40,0
32,0
59,0
48,0
45,0
49,0
51,0
38,0
53,0
49,0
31,0
36,0
54,0
29,0
31,0
35,0
38,0
54,0
48,0
48,0
32,0
34,0
49,0
44,0
42,0
55,0
42,0
44,0
51,0
43,0
52,0
45,0
41,0
35,0
41,0
46,0
36,0
29,0
47,0
43,0
38,0
44,0
29,0
58,0
48,0
46,0
31,0
47,0
44,0
31,0
38,0
33,0
53,0
33,0
33,0
37,0
55,0
41,0
46,0
32,0
48,0
34,0
35,0
55,0
45,0
48,0
34,0
46,0
34,0
51,0
37,0
54,0
45,0
39,0
39,0
39,0
39,0
32,0
41,0
59,0
57,0
30,0
34,0
34,0
38,0
31,0
47,0
57,0
44,0
45,0
36,0
44,0
51,0
28,0
50,0
51,0
38,0
44,0
35,0
35,0
32,0
48,0
35,0
44,0
43,0
40,0
50,0
44,0
37,0
32,0
58,0
49,0
32,0
30,0
28,0
40,0
44,0
30,0
30,0
28,0
58,0
45,0
35,0
57,0
35,0
41,0
42,0
42,0
51,0
48,0
39,0
47,0
34,0
44,0
52,0
51,0
49,0
35,0
44,0
37,0
47,0
43,0
40,0
32,0
42,0
42,0
39,0
32,0
30,0
42,0
35,0
56,0
40,0
26,0
57,0
51,0
31,0
31,0
60,0
29,0
44,1
26,0
54,0
34,0
29,0
33,0
35,0
42,0
53,0
51,0
59,0
51,0
36,0
47,0
51,0
42,0
40,0
26,0
45,0
51,0
42,0
31,0
38,0
51,0
39,0
36,0
60,0
34,0
41,0
34,0
36,0
33,0
46,0
44,0
30,0
34,0
54,1
58,0
29,0
41,0
53,0
35,0
34,0
36,0
31,0
59,0
49,0
37,0
50,0
34,0
32,0
45,0
39,0
43,0
43,0
52,0
54,0
54,0
31,0
35,0
28,0
56,0
35,0
45,0
38,0
42,0
44,0
58,0
43,0
37,0
45,0
59,0
50,0
41,0
33,0
46,0
30,0
28,0
58,0
43,0
39,0
25,0
39,0
42,0
43,0
43,0
33,0
52,0
42,1
53,0
41,0
48,0
40,0
40,0
53,0
55,0
39,0
35,0
50,0
38,0
41,0
44,0
39,0
44,0
51,0
41,0
31,0
40,0
38,0
48,0
32,0
46,1
49,0
47,0
28,0
38,0
28,0
51,0
50,0
38,0
48,0
44,0
30,0
34,0
36,0
41,0
40,0
35,0
46,0
35,0
32,0
34,0
35,0
28,0
30,0
48,0
53,0
31,0
59,0
51,0
47,0
40,0
42,0
30,0
40,0
30,0
50,0
36,0
29,0
43,0
35,0
35,0
48,0
49,0
44,0
32,1
55,0
41,0
27,0
41,0
36,0
45,0
36,0
54,0
48,0
32,0
33,0
43,0
44,0
50,0
32,0
43,0
32,0
43,0
40,0
24,0
32,0
43,0
43,1
35,0
33,0
43,0
48,0
52,0
49,0
30,0
36,0
39,0
39,0
36,0
39,0
31,0
41,0
35,0
55,0
57,0
38,0
52,0
60,0
24,0
38,0
44,0
42,0
25,0
32,0
51,0
28,0
27,0
35,0
45,0
30,0
60,0
28,0
45,0
37,0
37,0
36,0
49,0
35,0
34,0
31,0
42,0
39,0
33,0
38,0
30,0
31,0
39,0
37,0
48,0
32,0
48,0
37,0
37,0
26,0
33,0
54,0
37,0
35,0
45,0
33,0
54,1
37,0
35,0
33,0
49,0
43,0
43,0
39,0
47,0
30,0
51,0
59,0
31,0
39,0
43,0
30,0
37,0
42,0
37,0
37,0
37,0
36,0
48,0
43,0
28,0
30,0
60,0
31,0
38,0
50,1
36,0
50,0
54,0
33,0
20,0
24,0
28,0
55,0
25,0
41,0
39,0
27,0
27,0
34,0
25,0
48,0
36,0
36,0
27,0
45,0
28,0
30,0
43,0
32,0
29,0
35,0
43,0
35,0
36,0
36,0
48,0
38,0
38,0
45,0
35,0
42,0
56,0
30,0
45,0
39,0
36,0
32,0
29,0
34,0
36,0
33,0
43,0
31,1
35,0
42,0
35,0
44,0
36,0
47,0
59,0
29,0
30,0
38,0
45,0
28,0
37,0
38,0
28,0
31,0
37,0
36,0
54,0
53,0
43,0
49,0
32,0
36,0
50,0
51,0
38,0
44,0
29,0
46,0
32,0
43,0
53,0
43,0
35,0
49,0
35,0
40,0
29,0
43,0
47,0
38,0
48,0
53,0
53,0
51,1
35,0
31,1
46,0
28,0
38,0
28,0
50,0
32,0
31,0
39,0
41,0
31,0
54,0
34,0
51,0
45,0
32,0
28,0
40,0
55,0
41,0
57,0
44,0
29,0
38,0
34,0
36,0
39,0
30,0
35,0
60,0
35,0
38,0
57,0
44,0
40,0
46,0
50,0
45,0
57,0
35,0
38,0
30,0
25,0
52,0
37,0
60,0
42,0
37,0
43,0
33,0
32,0
41,0
37,0
39,0
36,0
38,0
33,0
41,1
58,0
44,0
36,0
33,0
30,0
44,0
32,0
38,0
41,0
40,0
33,0
28,0
46,0
35,0
40,0
36,0
38,0
36,0
40,0
31,0
47,0
35,0
29,0
29,0
35,0
33,0
41,0
54,0
31,0
55,0
38,0
41,0
49,0
39,0
34,0
39,0
37,0
45,0
49,0
43,0
40,0
42,0
47,0
56,0
43,0
34,0
29,0
53,0
50,0
51,0
20,0
41,0
47,0
48,0
29,0
28,0
31,0
29,0
42,0
40,0
33,0
33,0
34,0
36,0
35,0
38,0
31,0
30,0
42,0
27,0
39,0
38,0
30,0
52,0
38,0
54,0
29,0
32,0
28,0
30,0
44,0
37,0
48,0
25,0
49,0
60,0
29,0
55,0
41,0
39,0
39,0
31,0
38,0
32,0
53,0
37,0
34,0
31,0
39,0
39,0
39,0
37,0
30,0
32,0
37,0
27,0
32,1
33,0
47,0
40,0
38,0
33,1
54,0
51,0
41,0
51,0
55,0
39,0
37,0
39,0
33,0
33,0
59,0
55,0
53,0
36,0
40,0
37,0
56,0
32,0
38,1
28,0
30,0
45,0
60,1
32,0
39,0
56,0
31,0
20,0
42,0
46,0
28,0
41,0
33,0
43,0
43,0
47,0
24,0
31,0
25,0
35,0
58,0
35,1
35,0
25,0
31,0
39,0
39,0
37,0
36,0
45,0
30,0
60,0
37,0
28,0
45,0
31,0
49,0
46,0
36,0
33,0
27,0
60,0
60,0
27,0
39,0
39,0
35,0
56,0
39,0
35,0
35,0
58,0
29,0
32,0
35,0
26,0
31,0
33,1
39,0
49,0
31,0
31,0
49,0
49,0
31,0
36,0
52,0
37,0
40,0
36,0
34,0
39,0
39,0
58,0
56,0
29,0
39,0
31,0
60,0
39,0
49,0
45,0
32,0
41,0
32,0
46,0
28,0
51,0
50,0
35,0
24,0
51,1
59,0
33,0
36,0
24,0
30,0
49,0
38,0
34,0
25,0
35,0
43,0
36,0
36,0
37,0
36,0
32,0
33,0
42,0
37,0
35,0
50,0
48,0
50,0
39,0
33,0
29,0
33,0
41,0
46,0
27,0
42,0
44,0
37,0
24,0
30,0
53,0
36,0
24,1
49,0
41,0
40,0
40,0
49,0
25,0
34,0
34,0
28,0
39,0
34,0
36,0
60,0
32,0
40,0
56,0
36,0
27,0
33,0
36,0
47,0
47,0
40,0
30,0
37,0
39,0
58,0
32,1
34,0
43,0
30,0
52,0
46,0
32,0
53,0
45,0
31,0
51,0
45,0
32,0
43,0
34,0
25,0
41,0
25,0
43,1
34,0
44,0
59,0
39,0
52,0
50,0
42,0
30,0
49,0
44,1
41,0
27,0
32,0
27,0
29,0
53,0
30,0
29,0
32,0
55,0
39,0
37,0
26,0
52,0
28,0
33,0
60,0
45,0
32,0
50,0
47,0
40,0
45,0
52,0
43,0
40,0
43,0
28,0
36,0
37,0
32,0
26,0
35,0
56,0
56,0
37,0
43,0
41,0
55,0
43,0
29,0
31,0
39,0
38,0
56,0
36,0
54,0
34,0
28,0
34,0
45,0
59,0
46,0
25,0
33,0
27,0
33,0
56,0
25,0
30,0
38,0
37,0
58,0
28,0
42,0
36,0
52,0
33,0
33,0
29,0
34,0
50,0
38,0
33,0
42,0
52,0
28,0
56,0
35,0
33,0
32,0
50,0
29,0
30,0
46,0
26,0
34,0
46,0
33,0
50,0
31,0
48,0
57,0
45,0
50,0
44,0
44,0
32,0
37,0
34,0
27,0
40,0
39,0
29,0
34,0
25,0
29,0
44,0
33,0
33,0
40,0
59,0
38,0
41,0
33,0
36,0
48,0
44,0
50,0
35,0
51,0
24,0
32,0
56,0
50,0
38,0
25,0
28,0
41,0
34,0
27,0
31,0
39,0
26,0
37,0
25,0
33,0
40,0
37,0
46,0
53,0
32,0
43,0
38,0
26,0
52,0
54,0
51,0
42,0
41,0
26,0
38,0
54,0
41,0
26,0
43,0
28,0
35,0
45,0
40,0
37,0
52,0
36,0
40,0
43,0
36,0
36,0
43,0
44,0
49,0
56,0
39,0
29,0
41,0
47,0
38,0
36,0
46,0
47,0
47,0
42,0
42,0
59,1
33,0
48,0
53,0
57,0
34,0
51,0
39,0
45,0
37,0
44,0
48,0
59,0
44,0
50,0
35,0
53,0
41,0
55,0
36,0
37,0
36,0
45,0
35,0
32,0
43,0
36,0
55,0
55,0
54,0
39,0
40,0
49,0
45,0
32,0
57,0
41,0
24,1
49,0
49,0
59,0
44,0
43,0
59,0
36,0
49,0
39,0
39,0
33,0
42,0
33,0
51,0
29,0
35,0
29,0
34,0
33,0
54,0
56,0
34,0
51,0
33,0
39,1
32,0
37,0
47,0
26,0
26,0
25,0
52,0
59,0
39,0
31,0
56,0
29,0
36,0
44,0
31,0
40,0
34,0
56,0
46,0
38,0
42,0
42,0
40,0
47,0
44,0
48,0
36,0
31,0
30,0
29,0
40,0
39,0
35,0
33,0
48,0
39,0
41,0
28,0
34,0
41,1
27,0
27,0
30,0
41,0
38,0
37,0
34,0
33,0
36,0
33,0
36,0
33,0
28,0
28,0
38,0
50,0
32,0
45,0
36,0
30,0
41,0
34,0
57,0
50,0
57,0
32,0
44,0
57,0
46,0
44,0
32,0
41,0
38,0
33,0
30,0
37,0
51,0
52,0
39,0
50,0
53,0
51,0
40,0
55,0
42,0
47,0
33,0
37,0
37,0
45,0
30,0
30,0
38,0
31,0
48,0
29,0
44,0
38,0
48,0
41,0
32,0
56,0
39,0
33,0
31,0
54,0
26,0
54,0
45,0
41,0
35,0
28,0
34,0
57,0
35,0
39,0
30,0
35,0
58,0
34,0
29,0
37,0
25,0
31,0
56,0
39,0
27,0
52,0
39,0
34,0
47,0
31,0
33,0
36,0
31,0
36,0
57,0
41,0
40,0
40,0
29,0
39,0
31,0
50,0
47,0
37,0
37,0
32,0
56,0
36,0
51,0
47,0
54,0
41,0
44,0
41,0
57,0
44,0
42,0
46,0
35,0
54,0
35,0
37,0
52,0
41,0
31,0
40,0
45,0
47,0
39,0
45,0
26,0
36,0
33,0
38,0
50,0
37,0
39,0
36,0
35,0
31,0
31,0
32,0
51,0
39,0
25,0
40,0
28,0
29,0
57,0
53,0
39,1
60,0
42,0
30,0
34,0
43,0
38,0
35,0
26,0
31,0
55,0
59,0
28,0
48,0
37,0
35,0
30,0
30,0
32,1
53,0
34,0
51,0
43,0
54,0
45,0
46,0
57,0
34,0
33,0
48,0
37,0
33,0
36,0
48,0
28,0
30,0
31,0
51,0
26,0
40,0
40,0
51,0
30,0
34,0
51,0
39,0
57,0
33,0
33,1
22,0
38,0
56,0
45,0
50,0
28,0
53,0
39,0
33,0
38,1
35,1
28,0
30,0
37,0
42,0
35,0
48,0
41,0
26,0
26,0
47,0
58,0
58,0
54,0
38,1
40,0
35,0
35,0
34,0
28,0
36,0
42,0
37,0
45,0
48,0
53,0
42,0
53,0
53,0
33,0
30,0
34,0
48,0
34,0
49,0
48,0
38,0
44,0
36,0
44,0
50,0
38,0
41,0
45,0
53,0
36,0
45,0
34,0
37,0
25,0
35,0
34,0
32,0
32,0
39,0
36,0
46,0
56,0
37,0
37,0
39,0
52,0
39,0
52,0
51,0
42,0
34,0
28,0
43,0
41,0
54,0
53,0
47,0
47,0
39,0
37,0
40,0
35,0
56,0
36,0
45,0
38,0
41,0
37,0
45,0
48,0
29,0
38,0
48,0
40,0
38,1
42,0
32,0
56,0
54,0
60,0
47,0
46,0
42,0
55,0
37,0
38,1
45,0
32,0
37,0
30,1
36,0
48,0
51,1
46,0
48,0
47,0
41,0
53,0
55,0
44,0
48,0
50,0
34,0
38,0
42,0
57,0
58,0
48,0
32,0
35,0
55,0
47,0
31,1
38,0
49,0
33,0
27,0
45,1
34,0
38,0
45,0
28,0
54,0
58,0
48,0
57,0
28,0
49,0
60,0
39,0
40,0
58,0
36,0
59,0
42,0
35,0
42,0
37,0
49,0
39,0
46,0
36,1
35,0
51,0
40,0
32,0
42,0
25,0
46,0
42,0
47,0
56,0
27,0
47,0
30,0
48,0
45,0
58,0
39,0
54,0
33,0
58,0
39,0
49,0
33,0
40,0
49,0
50,0
40,0
50,0
30,0
32,0
59,0
53,0
43,0
48,0
47,0
53,0
37,0
26,0
38,0
36,0
45,0
47,0
36,0
47,0
31,0
29,0
42,0
41,0
27,0
35,0
49,0
45,0
50,0
49,0
27,0
58,0
39,0
41,0
45,0
48,0
46,0
49,0
33,0
46,0
51,0
43,0
51,0
43,0
38,0
56,0
34,0
35,0
45,0
43,0
47,0
49,0
36,0
35,0
27,0
54,0
31,0
33,0
29,0
40,0
36,0
51,0
39,0
36,0
30,0
36,0
37,0
46,0
44,0
30,0
30,0
33,0
54,0
44,0
39,0
35,0
55,0
29,0
55,0
36,0
39,0
58,0
37,0
28,0
34,0
54,0
27,0
31,0
48,0
46,0
40,0
47,0
47,0
58,0
51,0
36,0
36,0
36,0
46,0
50,0
47,0
60,0
36,0
25,0
40,0
36,0
37,0
46,0
49,0
42,0
37,0
36,0
57,0
39,0
28,0
47,0
42,0
34,0
51,0
30,0
33,0
58,0
36,0
39,0
31,0
45,0
34,0
33,0
35,0
39,0
42,0
37,0
42,0
48,0
29,0
59,0
32,0
31,1
52,0
46,0
25,0
36,0
23,0
42,0
43,0
29,0
45,0
45,1
27,0
35,0
35,0
39,0
29,0
46,0
39,0
34,0
44,0
35,0
33,0
41,0
37,0
40,0
42,0
55,0
46,0
37,0
39,0
40,0
52,0
43,0
51,0
45,0
40,0
28,0
33,0
47,0
54,0
46,0
36,0
46,0
45,0
46,0
30,0
55,0
45,0
45,0
51,1
31,0
33,0
45,0
52,0
35,0
50,0
48,0
41,0
58,0
36,0
44,0
38,0
38,1
53,0
37,0
29,0
35,0
59,0
38,0
34,0
28,0
43,0
45,0
31,0
34,0
50,0
38,0
39,0
41,1
29,0
34,0
45,0
42,0
32,0
41,0
49,0
46,0
39,0
45,0
48,0
33,0
52,0
44,0
44,0
33,0
57,0
31,0
52,0
40,0
37,0
39,0
34,0
38,0
43,0
33,0
51,0
51,0
50,0
45,0
27,1
50,0
53,0
42,0
41,0
57,0
47,0
29,0
39,0
33,0
51,0
37,1
36,0
48,0
44,0
34,0
54,0
40,0
52,0
33,1
35,0
43,0
38,0
55,0
42,0
40,0
49,0
54,0
49,0
37,0
54,0
33,1
49,0
36,0
48,0
35,1
42,0
35,0
51,0
48,0
50,0
35,0
45,0
46,0
29,0
39,0
34,0
37,0
26,0
52,0
42,0
44,0
55,0
41,0
53,0
39,0
40,0
42,0
29,0
30,0
41,0
30,0
52,0
41,0
34,0
40,0
34,0
42,0
35,0
28,0
29,0
50,0
56,0
48,0
29,0
42,0
51,0
29,0
41,0
28,0
34,0
31,0
47,0
40,0
31,0
39,0
52,0
50,0
36,0
56,0
35,0
29,0
29,0
34,0
29,0
50,0
39,0
29,0
41,0
34,0
43,0
48,0
38,0
32,0
35,0
39,0
47,0
41,0
41,0
40,1
43,0
35,0
49,0
40,0
24,0
49,0
41,0
44,0
28,0
41,0
35,0
35,0
32,0
45,0
36,0
41,0
40,0
41,0
43,0
38,0
28,0
36,0
28,0
35,0
56,0
25,0
59,0
28,0
56,0
33,0
36,0
41,0
35,0
24,0
35,0
32,0
29,0
31,0
33,0
33,0
42,0
34,0
29,0
38,0
45,0
33,0
42,0
36,0
45,0
32,0
37,0
40,1
26,0
35,0
35,0
30,0
36,0
36,0
40,0
26,0
54,0
51,0
45,0
36,0
58,0
33,0
50,0
33,0
31,0
34,0
34,0
30,0
27,0
30,0
23,0
33,0
23,0
36,0
42,0
36,0
60,0
26,0
45,0
32,0
37,0
40,0
36,0
35,0
45,0
48,0
36,0
37,0
36,0
56,0
28,0
43,0
30,0
33,0
30,0
33,0
42,0
30,0
33,0
39,0
37,0
41,0
53,0
31,0
47,0
46,0
52,0
28,0
60,0
50,0
31,0
39,0
27,0
33,0
47,0
39,0
37,0
32,0
37,0
31,0
32,0
59,0
48,0
48,0
32,0
32,0
38,0
34,0
44,0
54,0
39,0
32,0
43,0
30,0
26,0
38,0
35,0
33,0
36,0
44,0
35,0
42,0
35,0
54,0
36,0
26,0
27,0
44,0
28,0
53,0
46,0
49,0
33,0
30,0
29,0
51,0
55,0
41,0
39,0
49,0
39,0
30,0
31,0
59,0
33,0
44,0
28,0
26,0
28,0
32,0
47,0
33,0
28,0
51,0
37,0
37,0
34,0
31,0
38,0
33,0
28,0
41,0
29,0
38,0
46,0
36,0
59,0
44,0
34,0
36,1
51,0
36,0
58,0
39,0
42,0
46,0
46,0
41,0
36,0
60,0
43,0
30,0
43,0
37,0
52,0
41,0
39,0
29,0
29,0
55,0
33,0
41,0
53,0
43,0
51,0
31,0
45,0
40,0
30,0
37,0
56,0
29,0
30,0
36,0
32,0
41,0
35,0
45,0
40,0
34,0
45,0
31,0
35,1
58,0
48,0
38,0
39,0
38,0
49,0
60,0
37,0
48,0
37,0
30,0
32,0
30,0
39,0
56,0
37,0
37,0
41,0
42,0
52,0
42,0
58,0
32,1
26,0
28,0
31,0
31,0
27,0
37,0
32,0
33,0
35,0
32,0
43,0
32,0
31,0
51,0
38,0
40,0
42,0
45,0
35,0
40,0
44,0
31,0
30,0
33,0
28,0
36,0
49,0
31,0
45,0
29,0
34,0
45,0
30,0
38,0
33,0
46,0
41,0
44,0
32,0
46,0
35,0
44,0
35,0
39,0
52,0
44,0
53,0
33,0
41,0
33,0
46,0
38,0
44,0
57,0
45,0
55,0
26,0
38,0
41,0
53,0
42,1
56,0
41,0
49,0
31,0
37,0
40,0
43,0
48,0
45,1
49,0
52,0
35,0
52,0
59,0
34,0
33,0
34,0
33,0
46,0
37,0
35,0
41,0
39,0
52,0
46,0
41,0
57,0
54,0
38,1
48,0
59,0
42,0
45,0
40,0
50,0
49,0
45,0
42,0
36,0
41,0
47,0
45,0
44,0
34,0
39,1
45,0
48,0
31,0
45,1
36,0
40,0
34,0
33,0
40,0
55,0
30,0
38,0
36,0
34,0
55,0
34,0
34,0
33,0
43,0
46,0
48,0
50,0
48,0
39,0
30,0
27,0
31,0
55,0
42,0
35,0
53,0
41,0
36,0
36,0
46,0
57,0
53,0
36,0
48,0
49,1
58,0
36,0
34,0
42,0
41,1
55,0
43,0
59,0
37,0
38,0
46,0
52,0
53,0
40,0
45,0
55,0
54,0
32,0
36,0
32,0
35,0
44,0
37,0
38,0
50,0
38,0
49,0
37,0
46,0
36,0
47,0
33,0
31,0
45,0
36,0
49,0
39,0
34,0
39,0
26,0
36,0
31,0
54,0
39,0
32,0
43,0
53,0
28,0
50,0
44,0
45,0
56,0
35,0
31,0
47,0
39,0
35,0
24,0
31,0
39,0
45,0
39,0
60,0
45,0
35,0
53,0
54,0
36,0
39,0
48,0
32,0
36,0
42,0
36,0
49,0
38,0
34,0
34,0
30,1
36,0
48,0
32,0
51,0
47,0
43,0
29,0
44,0
38,0
59,0
29,0
35,0
36,0
33,0
34,0
25,0
48,0
25,0
25,0
52,0
34,0
27,0
44,0
36,0
40,0
38,0
57,0
45,0
27,0
31,0
30,0
31,0
58,0
40,0
44,0
42,0
28,0
47,0
47,0
58,0
32,0
50,0
53,1
29,0
34,0
35,1
32,0
26,0
27,0
47,0
47,0
38,0
41,0
41,0
58,0
24,0
51,1
26,0
28,0
49,0
55,0
38,0
50,0
46,0
35,0
30,0
39,0
28,0
46,0
38,0
34,0
44,0
36,0
40,0
32,0
29,0
50,0
53,0
46,0
57,0
45,0
57,0
29,0
32,0
25,0
43,0
26,0
34,0
33,1
37,0
34,0
53,0
28,0
48,0
36,0
54,0
44,0
44,1
56,0
35,0
37,0
43,0
31,0
31,0
31,0
38,0
40,0
44,0
36,0
49,0
30,0
28,0
48,0
35,0
50,1
49,0
50,0
29,0
29,0
60,0
41,0
46,0
54,0
49,0
41,0
26,0
43,0
40,0
35,0
34,0
36,0
50,0
45,0
49,0
59,0
35,0
41,0
34,0
56,0
37,0
46,0
50,0
46,0
39,0
27,0
59,0
55,0
36,0
57,0
58,0
36,0
42,0
37,0
34,0
32,0
40,0
48,0
56,0
25,0
