bin_center,count,feature
4.0951034300767475,148,log1p(Recency)
4.199779006984957,135,log1p(Recency)
4.3044545838931665,153,log1p(Recency)
4.409130160801375,117,log1p(Recency)
4.5138057377095855,106,log1p(Recency)
4.618481314617794,63,log1p(Recency)
4.723156891526003,107,log1p(Recency)
4.827832468434213,79,log1p(Recency)
4.932508045342422,87,log1p(Recency)
5.037183622250632,91,log1p(Recency)
5.141859199158841,110,log1p(Recency)
5.24653477606705,117,log1p(Recency)
5.35121035297526,120,log1p(Recency)
5.455885929883468,100,log1p(Recency)
5.560561506791679,144,log1p(Recency)
5.665237083699887,130,log1p(Recency)
5.769912660608097,127,log1p(Recency)
5.874588237516306,127,log1p(Recency)
3.08,3466,Frequency
7.24,481,Frequency
11.4,181,Frequency
15.56,77,Frequency
19.72,49,Frequency
23.880000000000003,21,Frequency
28.04,21,Frequency
32.2,11,Frequency
36.36,6,Frequency
40.519999999999996,3,Frequency
44.68000000000001,3,Frequency
48.84,4,Frequency
53.0,3,Frequency
57.16,1,Frequency
61.32000000000001,3,Frequency
65.48,0,Frequency
69.64,0,Frequency
73.8,1,Frequency
77.96000000000001,0,Frequency
82.12,0,Frequency
86.28,1,Frequency
90.44,1,Frequency
94.60000000000001,1,Frequency
98.76,1,Frequency
102.92,0,Frequency
107.08,0,Frequency
111.24000000000001,0,Frequency
115.4,0,Frequency
119.56,0,Frequency
123.72,1,Frequency
127.88000000000001,0,Frequency
132.04000000000002,0,Frequency
136.2,0,Frequency
140.36,0,Frequency
144.51999999999998,0,Frequency
148.68,0,Frequency
152.84,0,Frequency
157.0,0,Frequency
161.16000000000003,0,Frequency
165.32,0,Frequency
169.48000000000002,0,Frequency
173.64,0,Frequency
177.8,0,Frequency
181.96,0,Frequency
186.12,0,Frequency
190.28000000000003,0,Frequency
194.44,0,Frequency
198.60000000000002,0,Frequency
202.76,1,Frequency
206.92000000000002,1,Frequency
0.7396867840615204,1493,log1p(Frequency)
0.832765991064671,0,log1p(Frequency)
0.9258451980678215,0,log1p(Frequency)
1.0189244050709718,0,log1p(Frequency)
1.1120036120741223,835,log1p(Frequency)
1.2050828190772729,0,log1p(Frequency)
1.2981620260804234,0,log1p(Frequency)
1.3912412330835737,508,log1p(Frequency)
1.4843204400867243,0,log1p(Frequency)
1.5773996470898746,388,log1p(Frequency)
1.670478854093025,0,log1p(Frequency)
1.7635580610961756,242,log1p(Frequency)
1.8566372680993262,0,log1p(Frequency)
1.9497164751024767,172,log1p(Frequency)
2.042795682105627,143,log1p(Frequency)
2.135874889108777,0,log1p(Frequency)
2.228954096111928,98,log1p(Frequency)
2.322033303115078,68,log1p(Frequency)
2.415112510118229,54,log1p(Frequency)
2.5081917171213792,52,log1p(Frequency)
2.6012709241245298,75,log1p(Frequency)
2.6943501311276803,20,log1p(Frequency)
2.787429338130831,39,log1p(Frequency)
2.8805085451339814,18,log1p(Frequency)
2.9735877521371314,26,log1p(Frequency)
3.0666669591402824,23,log1p(Frequency)
3.1597461661434325,10,log1p(Frequency)
3.2528253731465835,18,log1p(Frequency)
3.3459045801497336,9,log1p(Frequency)
3.4389837871528837,8,log1p(Frequency)
3.5320629941560346,8,log1p(Frequency)
3.6251422011591847,6,log1p(Frequency)
3.7182214081623357,3,log1p(Frequency)
3.811300615165486,3,log1p(Frequency)
3.9043798221686368,4,log1p(Frequency)
3.997459029171787,3,log1p(Frequency)
4.090538236174937,2,log1p(Frequency)
4.183617443178088,2,log1p(Frequency)
4.276696650181238,1,log1p(Frequency)
4.369775857184388,0,log1p(Frequency)
4.462855064187539,1,log1p(Frequency)
4.555934271190689,3,log1p(Frequency)
4.64901347819384,0,log1p(Frequency)
4.74209268519699,0,log1p(Frequency)
4.835171892200141,1,log1p(Frequency)
4.928251099203291,0,log1p(Frequency)
5.021330306206442,0,log1p(Frequency)
5.114409513209592,0,log1p(Frequency)
5.2074887202127425,0,log1p(Frequency)
5.300567927215893,2,log1p(Frequency)
2805.7727,4107,Monetary
8409.8181,146,Monetary
14013.8635,32,Monetary
19617.908900000002,15,Monetary
25221.954299999998,3,Monetary
30825.9997,6,Monetary
36430.0451,5,Monetary
42034.0905,4,Monetary
47638.1359,0,Monetary
53242.1813,3,Monetary
58846.2267,4,Monetary
64450.2721,3,Monetary
70054.3175,0,Monetary
75658.36290000001,1,Monetary
81262.4083,1,Monetary
86866.4537,0,Monetary
92470.4991,1,Monetary
98074.5445,0,Monetary
103678.58989999999,0,Monetary
109282.6353,0,Monetary
114886.6807,1,Monetary
120490.7261,0,Monetary
126094.7715,1,Monetary
131698.8169,0,Monetary
137302.8623,0,Monetary
142906.9077,1,Monetary
148510.95309999998,0,Monetary
154114.9985,0,Monetary
159719.0439,0,Monetary
165323.0893,0,Monetary
170927.1347,1,Monetary
176531.1801,0,Monetary
182135.2255,0,Monetary
187739.2709,0,Monetary
193343.3163,1,Monetary
198947.3617,0,Monetary
204551.4071,0,Monetary
210155.4525,0,Monetary
215759.4979,0,Monetary
221363.5433,0,Monetary
226967.5887,0,Monetary
232571.6341,0,Monetary
238175.6795,0,Monetary
243779.7249,0,Monetary
249383.7703,0,Monetary
254987.8157,0,Monetary
260591.8611,1,Monetary
266195.90650000004,0,Monetary
271799.9519,0,Monetary
277403.99730000005,1,Monetary
1.6679960115271284,1,log1p(Monetary)
1.8876987984882854,1,log1p(Monetary)
2.107401585449442,1,log1p(Monetary)
2.3271043724105995,0,log1p(Monetary)
2.5468071593717565,1,log1p(Monetary)
2.7665099463329135,4,log1p(Monetary)
2.986212733294071,3,log1p(Monetary)
3.2059155202552274,2,log1p(Monetary)
3.425618307216385,3,log1p(Monetary)
3.6453210941775414,14,log1p(Monetary)
3.8650238811386988,15,log1p(Monetary)
4.084726668099856,19,log1p(Monetary)
4.304429455061014,42,log1p(Monetary)
4.524132242022169,61,log1p(Monetary)
4.743835028983327,131,log1p(Monetary)
4.963537815944484,148,log1p(Monetary)
5.1832406029056415,196,log1p(Monetary)
5.402943389866797,210,log1p(Monetary)
5.6226461768279545,237,log1p(Monetary)
5.842348963789112,332,log1p(Monetary)
6.062051750750269,283,log1p(Monetary)
6.281754537711426,268,log1p(Monetary)
6.501457324672582,337,log1p(Monetary)
6.72116011163374,276,log1p(Monetary)
6.940862898594897,271,log1p(Monetary)
7.160565685556055,244,log1p(Monetary)
7.380268472517211,225,log1p(Monetary)
7.599971259478368,215,log1p(Monetary)
7.819674046439525,182,log1p(Monetary)
8.039376833400683,147,log1p(Monetary)
8.259079620361838,134,log1p(Monetary)
8.478782407322996,87,log1p(Monetary)
8.698485194284153,68,log1p(Monetary)
8.91818798124531,50,log1p(Monetary)
9.137890768206468,28,log1p(Monetary)
9.357593555167625,30,log1p(Monetary)
9.577296342128781,13,log1p(Monetary)
9.796999129089938,16,log1p(Monetary)
10.016701916051094,5,log1p(Monetary)
10.236404703012251,7,log1p(Monetary)
10.456107489973409,7,log1p(Monetary)
10.675810276934566,4,log1p(Monetary)
10.895513063895724,6,log1p(Monetary)
11.115215850856881,4,log1p(Monetary)
11.334918637818037,3,log1p(Monetary)
11.554621424779194,0,log1p(Monetary)
11.774324211740351,3,log1p(Monetary)
11.994026998701509,1,log1p(Monetary)
12.213729785662665,1,log1p(Monetary)
12.433432572623822,2,log1p(Monetary)
